COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
Monroe,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Monroe,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Monroe,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Monroe,jorgensenj,12/27/2021 20:35:30.279628,138,120,0,None,None,None
Monroe,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Monroe,other,12/27/2021 20:35:30.279628,48,31,0,None,None,None
Monroe,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Nassau,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,other,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Nassau,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Okaloosa,bidenj,12/27/2021 20:35:30.279628,17236,4644,34,None,None,None
Okaloosa,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Okaloosa,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Okaloosa,hawkinsh,12/27/2021 20:35:30.279628,73,51,0,None,None,None
Okaloosa,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Okaloosa,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Okaloosa,other,12/27/2021 20:35:30.279628,189,94,0,None,None,None
Okaloosa,trumpd,12/27/2021 20:35:30.279628,19304,18700,92,None,None,None
Osceola,bidenj,12/27/2021 20:35:30.279628,50272,10901,70,76019,25518,139
Osceola,blankenshipd,12/27/2021 20:35:30.279628,44,7,0,76019,25518,139
Osceola,de_la_fuenter,12/27/2021 20:35:30.279628,83,35,0,76019,25518,139
Osceola,hawkinsh,12/27/2021 20:35:30.279628,159,48,0,76019,25518,139
Osceola,jorgensenj,12/27/2021 20:35:30.279628,438,217,1,76019,25518,139
Osceola,la_rivag,12/27/2021 20:35:30.279628,69,22,1,76019,25518,139
Osceola,other,12/27/2021 20:35:30.279628,183,85,0,76019,25518,139
Osceola,trumpd,12/27/2021 20:35:30.279628,24771,14203,67,76019,25518,139
Palm Beach,bidenj,12/27/2021 20:35:30.279628,269804,53503,233,None,None,None
Palm Beach,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Palm Beach,de_la_fuenter,12/27/2021 20:35:30.279628,188,101,0,None,None,None
Palm Beach,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Palm Beach,jorgensenj,12/27/2021 20:35:30.279628,1350,962,0,None,None,None
Palm Beach,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Palm Beach,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Palm Beach,trumpd,12/27/2021 20:35:30.279628,113341,91094,278,None,None,None
Pasco,bidenj,12/27/2021 20:35:30.279628,67814,16240,0,None,None,0
Pasco,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Pasco,de_la_fuenter,12/27/2021 20:35:30.279628,88,52,0,None,None,0
Pasco,hawkinsh,12/27/2021 20:35:30.279628,220,141,0,None,None,0
Pasco,jorgensenj,12/27/2021 20:35:30.279628,855,771,0,None,None,0
Pasco,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Pasco,other,12/27/2021 20:35:30.279628,333,194,0,None,None,0
Pasco,trumpd,12/27/2021 20:35:30.279628,53660,47956,0,None,None,0
Pinellas,bidenj,12/27/2021 20:35:30.279628,199657,32256,0,346300,102873,0
Pinellas,blankenshipd,12/27/2021 20:35:30.279628,145,36,0,346300,102873,0
Pinellas,de_la_fuenter,12/27/2021 20:35:30.279628,213,56,0,346300,102873,0
Pinellas,hawkinsh,12/27/2021 20:35:30.279628,578,237,0,346300,102873,0
Pinellas,jorgensenj,12/27/2021 20:35:30.279628,2363,1285,0,346300,102873,0
Pinellas,la_rivag,12/27/2021 20:35:30.279628,189,77,0,346300,102873,0
Pinellas,other,12/27/2021 20:35:30.279628,948,378,0,346300,102873,0
